author,books,genres,subgenres,classic,narrator
Melissa Senate ,['The Secret of Joy'],['Romance'],"['Contemporary Romance', 'Realistic Fiction']",no,first-person
Thomas Siddell,"['Gunnerkrigg Court, Volume 2: Research']","['Fantasy', 'Science Fiction']",['Magic'],no,first-person
Tamara Allen ,['Whistling in the Dark'],['Romance'],"['Historical Fiction', 'Historical Romance']",no,third-person
Gabrielle Harbowy ,['When the Hero Comes Home'],"['Fantasy', 'Science Fiction']",['Urban Fantasy'],no,omniscent
Katie Roiphe,['Still She Haunts Me'],['Fantasy'],['Historical Fiction'],classic,third-person
Emma Harrison,['Garden of Evil'],['Fantasy'],"['Paranormal', 'Magic', 'Urban Fantasy']",no,third-person
Deborah Lynn Jacobs,['Powers'],"['Fantasy', 'Romance']","['Paranormal', 'Magic']",no,second-person
Traci L. Slatton ,['Immortal'],['Fantasy'],"['Historical Fiction', 'Paranormal', 'Historical Fantasy']",no,omniscent
Jin Kobayashi,"['School Rumble, Vol. 1']",['Romance'],['Comedy'],no,first-person
T.M. Wright,['A Manhattan Ghost Story'],"['Horror', 'Fantasy']",['Paranormal'],no,omniscent
Adena Halpern ,['The Ten Best Days of My Life'],['Fantasy'],['Paranormal'],no,third-person
Susan Fraser King ,['Lady Macbeth'],['Romance'],['Historical Fiction'],no,omniscent
Jessa Russo ,['Ever'],"['Romance', 'Fantasy']","['Paranormal', 'Paranormal Romance']",no,third-person
Karen Baney ,['A Dream Unfolding'],['Romance'],"['Historical Fiction', 'Historical Romance']",no,third-person
Holly Cupala ,"[""Don't Breathe a Word""]",['Romance'],['Realistic Fiction'],no,third-person
Rebecca Hunt,['Mr. Chartwell'],['Fantasy'],['Historical Fiction'],no,third-person
Cara Lockwood ,"[""I Do (But I Don't)""]","['Romance', 'Fantasy']",['Contemporary Romance'],no,third-person
B. Justin Shier ,['Zero Sight'],"['Fantasy', 'Romance']","['Urban Fantasy', 'Paranormal', 'Magic', 'Vampires']",no,third-person
William Boyd,['The Blue Afternoon'],['Romance'],['Historical Fiction'],no,third-person
Robyn Bavati ,['Dancing in the Dark'],['Romance'],['Realistic Fiction'],no,first-person
Gregg Rosenblum ,['Revolution 19'],"['Science Fiction', 'Fantasy']",['Post Apocalyptic'],no,third-person
Nadia Lee ,['Redemption in Love'],['Romance'],['Contemporary Romance'],no,omniscent
Amber Lough,['The Fire Wish'],"['Fantasy', 'Romance']","['Magic', 'High Fantasy']",no,first-person
Jes Battis ,['Night Child'],"['Fantasy', 'Romance']","['Urban Fantasy', 'Paranormal', 'Vampires', 'Magic', 'Demons']",no,third-person
Tabatha Vargo ,['Little Black Book'],['Romance'],"['Contemporary Romance', 'Erotic Romance']",no,third-person
Charles Addams,['My Crowd'],"['Horror', 'Fantasy']",['Comedy'],no,third-person
Mary Wollstonecraft Shelley,"['Classics of Horror: Frankenstein Dr. Jekyll & Mr. Hyde Dracula', 'The Last Man']","['Horror', 'Fantasy', 'Science Fiction']","['Vampires', 'Paranormal', 'Post Apocalyptic']",classic,third-person
Steph Swainston,"['The Year of Our War', 'No Present Like Time']","['Fantasy', 'Science Fiction']","['Epic Fantasy', 'High Fantasy']",no,third-person
Jane Lotter,['The Bette Davis Club'],['Romance'],['Comedy'],no,first-person
Zoe Archer ,"['Stranger', ""Demon's Bride""]","['Romance', 'Fantasy']","['Paranormal', 'Paranormal Romance', 'Historical Romance', 'Historical Fiction', 'Demons', 'Magic']",no,omniscent
Belinda Alexandra,"['White Gardenia', 'Sapphire Skies']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,omniscent
Ashley Merrick,['Emma'],['Romance'],"['Historical Romance', 'Historical Fiction']",no,third-person
Loretta Lost ,['Clarity'],['Romance'],['Contemporary Romance'],no,first-person
Joy N. Hensley ,['Rites of Passage'],['Romance'],['Realistic Fiction'],no,first-person
Sarah-Jane Stratford ,['The Midnight Guardian'],"['Fantasy', 'Horror']","['Vampires', 'Historical Fiction', 'Urban Fantasy', 'Paranormal', 'Paranormal Romance']",no,second-person
Cary Attwell ,['The Other Guy'],['Romance'],['Contemporary Romance'],no,first-person
Carolyn Haines ,"['Crossed Bones', 'Them Bones']",['Romance'],['Paranormal'],no,third-person
Robert Shea,"['Last of the Zinja', 'Time of the Dragons', 'Time of the Dragons']","['Fantasy', 'Romance']",['Historical Fiction'],no,third-person
Donna Fletcher ,"['Highlander Unchained', ""Under the Highlander's Spell""]",['Romance'],"['Historical Romance', 'Historical Fiction']",no,first-person
Amanda Brown,['Legally Blonde'],['Romance'],['Comedy'],no,third-person
Matthew Norman,"[""We're All Damaged""]",['Romance'],['Comedy'],no,third-person
Lou Anders ,['Frostborn'],['Fantasy'],['Magic'],no,first-person
Kristi Ann Hunter ,"['A Noble Masquerade', 'An Inconvenient Beauty', 'An Uncommon Courtship', 'An Elegant Facade']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,omniscent
Sherry Leclerc ,['The Guardians of Eastgate'],"['Fantasy', 'Science Fiction']",['Magic'],no,third-person
Nicole Kornher-Stace ,['Archivist Wasp'],"['Fantasy', 'Science Fiction']","['Paranormal', 'Post Apocalyptic']",no,omniscent
Jessica Hart ,['Oh-So-Sensible Secretary'],['Romance'],['Contemporary Romance'],no,first-person
Teagan Hunter ,"[""Let's Get Textual""]",['Romance'],['Contemporary Romance'],no,third-person
Sarah Winman,['Tin Man'],['Romance'],['Historical Fiction'],no,third-person
Patricia Polacco,['For the Love of Autumn'],['Romance'],['Realistic Fiction'],no,omniscent
Robert D. San Souci,['Dare to Be Scared: Thirteen Stories to Chill and Thrill'],"['Horror', 'Fantasy']",['Paranormal'],no,third-person
Elswyth Thane,"['The Light Heart', 'Yankee Stranger']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,first-person
Gregory Benford,"['In the Ocean of Night', 'Across the Sea of Suns']","['Science Fiction', 'Fantasy']",['Hard Science Fiction'],no,third-person
Kristen Tracy ,"['A Field Guide for Heartbreakers', 'Sharks & Boys']","['Romance', 'Horror']",['Realistic Fiction'],no,third-person
Brenda Novak ,['In Seconds'],['Romance'],['Contemporary Romance'],no,first-person
Brad Meltzer ,['Buffy the Vampire Slayer: Twilight'],"['Fantasy', 'Horror']","['Vampires', 'Paranormal', 'Urban Fantasy']",no,third-person
Tracey O'Hara ,"[""Night's Cold Kiss""]","['Fantasy', 'Romance']","['Urban Fantasy', 'Vampires', 'Paranormal Romance', 'Paranormal']",no,third-person
Marcia Gruver ,"[""Bandit's Hope""]",['Romance'],['Historical Fiction'],no,third-person
Thomas Bulfinch,"[""Bulfinch's Mythology""]",['Fantasy'],['Historical Fiction'],classic,third-person
Mayra Lazara Dole ,['Down to the Bone'],['Romance'],['Realistic Fiction'],no,third-person
Margaret Stohl ,['Icons'],"['Science Fiction', 'Fantasy', 'Romance']","['Post Apocalyptic', 'Paranormal']",no,first-person
Anne Mateer ,['Wings of a Dream'],['Romance'],"['Historical Fiction', 'Historical Romance']",no,third-person
S.R. Johannes ,['Untraceable'],"['Romance', 'Fantasy']",['Paranormal'],no,omniscent
Ginger Garrett ,['Chosen: The Lost Diaries of Queen Esther'],['Romance'],['Historical Fiction'],no,omniscent
Andrew M. Greeley,['The Magic Cup'],"['Fantasy', 'Romance']","['Magic', 'Historical Fiction']",no,third-person
M.R. Merrick ,['Exiled'],"['Fantasy', 'Romance']","['Urban Fantasy', 'Paranormal', 'Demons', 'Magic', 'Vampires']",no,third-person
Leslie D. Stuart ,['Roses in Winter'],['Romance'],['Contemporary Romance'],no,first-person
Rachel Brookes ,['Just Breathe'],['Romance'],['Contemporary Romance'],no,omniscent
Jacquie D'Alessandro,['Who Will Take This Man?'],['Romance'],"['Historical Romance', 'Historical Fiction']",no,first-person
Shantel Tessier ,['Undescribable'],['Romance'],"['Contemporary Romance', 'Erotic Romance']",no,third-person
Laurel Snyder ,['Any Which Wall'],['Fantasy'],"['Magic', 'Time Travel']",no,first-person
Hilary Boyd,['Thursdays in the Park'],['Romance'],['Contemporary Romance'],no,omniscent
Brian James ,['Life is But a Dream'],['Romance'],['Realistic Fiction'],no,first-person
Elliott James ,"['Charming', 'Daring']","['Fantasy', 'Romance']","['Urban Fantasy', 'Paranormal', 'Vampires', 'Magic']",no,omniscent
Kristin Elizabeth Clark,['Freakboy'],['Romance'],['Realistic Fiction'],no,third-person
Vicki L. Weavil ,['Crown of Ice'],"['Fantasy', 'Romance']","['Magic', 'Paranormal']",no,first-person
You Higuri,"['Cantarella, Volume 1', 'Cantarella, Volume 1']",['Fantasy'],['Historical Fiction'],no,third-person
Scott Ciencin,"['Shadowdale', 'Shadowdale']","['Fantasy', 'Science Fiction']",['High Fantasy'],no,first-person
Kevin Barry,"['Beatlebone', 'Beatlebone']",['Fantasy'],['Historical Fiction'],no,third-person
Jillian Cantor ,['Searching for Sky'],"['Romance', 'Science Fiction']",['Realistic Fiction'],no,second-person
E.M. Hull,['The Sheik'],['Romance'],"['Historical Romance', 'Historical Fiction', 'Contemporary Romance']",classic,third-person
Liz Johnson ,['The Red Door Inn'],['Romance'],['Contemporary Romance'],no,third-person
Hajime Isayama,['Attack on Titan: Colossal Edition 1'],"['Horror', 'Fantasy']",['Post Apocalyptic'],no,first-person
Audrey Coulthurst ,['Of Fire and Stars'],"['Fantasy', 'Romance']","['High Fantasy', 'Magic']",no,first-person
Marianne Knightly ,['Alexander & Rebecca'],['Romance'],['Contemporary Romance'],no,first-person
M. Malone ,['Shameless'],['Romance'],['Contemporary Romance'],no,third-person
Hannah Rothschild,['The Improbability of Love'],['Romance'],['Historical Fiction'],no,third-person
Erin Hahn ,['More Than Maybe'],['Romance'],"['Realistic Fiction', 'Contemporary Romance']",no,third-person
Mur Lafferty ,['Six Wakes'],['Science Fiction'],['Space'],no,third-person
Alyssa Rose Ivy ,"['Found', 'Beckoning Light']","['Romance', 'Fantasy']","['Paranormal', 'Paranormal Romance', 'Urban Fantasy', 'Magic']",no,first-person
Daphne Benedis-Grab ,"['Alive and Well in Prague, New York']",['Romance'],['Realistic Fiction'],no,first-person
Ruth Doan MacDougall,['The Cheerleader'],['Romance'],['Historical Fiction'],no,omniscent
Christine Morton-Shaw ,['The Hunt for the Seventh'],"['Horror', 'Fantasy']",['Paranormal'],no,first-person
Sara Mills,['Miss Match'],['Romance'],['Historical Fiction'],no,omniscent
C.L. Bevill ,['Veiled Eyes'],"['Romance', 'Fantasy']","['Paranormal', 'Paranormal Romance', 'Urban Fantasy']",no,second-person
Helen Hollick ,['The Forever Queen'],"['Romance', 'Fantasy']",['Historical Fiction'],no,third-person
Stephanie Haddad ,['A Previous Engagement'],['Romance'],['Contemporary Romance'],no,omniscent
Deborah Lawrenson,['The Lantern'],"['Romance', 'Fantasy']","['Historical Fiction', 'Paranormal']",no,third-person
Michael Carroll ,['Super Human'],"['Fantasy', 'Science Fiction']",['Magic'],no,third-person
Jacki O'Dierno,['Sleep Stalkers'],"['Horror', 'Fantasy']",['Paranormal'],no,third-person
Matthew Pearl ,['The Technologists'],['Science Fiction'],['Historical Fiction'],no,third-person
Chuck Black,"['Sir Bentley and Holbrook Court', ""Kingdom's Dawn""]",['Fantasy'],['Historical Fiction'],no,omniscent
Bentley Little,"['The Collection', 'The Association', 'The Store', 'Dispatch', 'The Resort']","['Horror', 'Fantasy']",['Paranormal'],no,third-person
Mary Campisi ,['The Butterfly Garden'],['Romance'],['Contemporary Romance'],no,omniscent
Kate Evangelista ,['Reaping Me Softly'],"['Romance', 'Fantasy']","['Paranormal', 'Paranormal Romance', 'Urban Fantasy']",no,first-person
Kelly Favor ,['For His Pleasure'],['Romance'],"['Contemporary Romance', 'Erotic Romance']",no,third-person
Victor Canning,['The Crimson Chalice'],['Fantasy'],['Historical Fiction'],no,omniscent
Josh Ritter ,"[""Bright's Passage""]",['Fantasy'],['Historical Fiction'],no,second-person
Manda Scott ,['Dreaming the Eagle'],"['Fantasy', 'Romance']","['Historical Fiction', 'Historical Fantasy']",no,third-person
Morgan Howell,"[""King's Property"", 'Clan Daughter', 'Royal Destiny']","['Fantasy', 'Romance']","['Magic', 'High Fantasy', 'Epic Fantasy', 'Paranormal']",no,third-person
Midori Snyder,['New Moon'],['Fantasy'],"['Magic', 'High Fantasy']",no,third-person
Marie Astor ,"['Bad Guys Get Caught', 'To Catch a Bad Guy']",['Romance'],['Contemporary Romance'],no,first-person
Ruth Ann Nordin ,"['Suddenly a Bride', ""The Earl's Inconvenient Wife""]","['Romance', 'Science Fiction', 'Fantasy']","['Contemporary Romance', 'Paranormal', 'Paranormal Romance', 'Historical Romance', 'Historical Fiction']",no,second-person
E.B. White,"[""Charlotte's Web/Stuart Little Slipcase Gift Set""]",['Fantasy'],['Realistic Fiction'],classic,first-person
Non Pratt,['Trouble'],['Romance'],['Realistic Fiction'],no,third-person
Robin D. Owens ,['Ghost Layer'],"['Romance', 'Fantasy']","['Urban Fantasy', 'Paranormal', 'Paranormal Romance']",no,third-person
Juliet Madison ,['Fast Forward'],"['Romance', 'Fantasy']","['Time Travel', 'Contemporary Romance']",no,third-person
Rachele Alpine ,['Canary'],['Romance'],['Realistic Fiction'],no,first-person
Julie Prestsater ,['Against the Wall'],['Romance'],['Contemporary Romance'],no,first-person
Helene Young ,"['Half Moon Bay', 'Shattered Sky']",['Romance'],['Contemporary Romance'],no,third-person
Resa Nelson ,"[""The Dragonslayer's Sword""]","['Fantasy', 'Romance']","['Magic', 'High Fantasy']",no,first-person
M.M. Vaughan ,['The Ability'],"['Fantasy', 'Science Fiction']",['Paranormal'],no,first-person
Ed Greenwood,['Elminster: The Making of a Mage'],"['Fantasy', 'Science Fiction']","['High Fantasy', 'Epic Fantasy', 'Magic']",no,omniscent
Fuyumi Soryo,"['ES: Eternal Sabbath, #1']","['Science Fiction', 'Horror']",['Paranormal'],no,omniscent
Frank Baker,['Miss Hargreaves'],['Fantasy'],['Historical Fiction'],classic,first-person
Mina V. Esguerra ,"['Interim Goddess of Love', 'Queen of the Clueless']","['Romance', 'Fantasy']",['Contemporary Romance'],no,second-person
Chris Kuzneski ,['Sword of God'],['Fantasy'],['Historical Fiction'],no,third-person
Eliot Schrefer ,['Rise and Fall'],['Fantasy'],['Magic'],no,omniscent
Kerstin Ekman,['The Forest of Hours'],['Fantasy'],['Historical Fiction'],no,third-person
Ellen Conford,['Seven Days to a Brand-New Me'],['Romance'],['Realistic Fiction'],no,third-person
Meg Elison ,['The Book of the Unnamed Midwife'],['Science Fiction'],['Post Apocalyptic'],no,third-person
Margo Rabb ,['Kissing in America'],['Romance'],['Realistic Fiction'],no,first-person
Tsugiko Kubo,['My Neighbor Totoro'],['Fantasy'],"['Historical Fantasy', 'Historical Fiction']",classic,omniscent
Adrienne Stoltz,['Lucid'],"['Fantasy', 'Romance', 'Science Fiction']","['Paranormal', 'Realistic Fiction']",no,third-person
Peter James,['The House on Cold Hill'],['Horror'],['Paranormal'],no,first-person
Sheralyn Pratt ,['Pimpernel'],['Romance'],['Contemporary Romance'],no,first-person
Colin Gigl ,['The Ferryman Institute'],"['Fantasy', 'Science Fiction']","['Urban Fantasy', 'Paranormal']",no,omniscent
Winter Renshaw ,['P.S. I Hate You'],['Romance'],['Contemporary Romance'],no,first-person
Richard Fenton ,"['Onyx Webb: Book One: Episodes 1, 2, 3', 'Onyx Webb: Book Three: Episodes 7, 8, 9', 'Onyx Webb: Book Five: Episodes 13, 14, 15', 'Onyx Webb: Book Four: Episodes 10, 11, 12']","['Horror', 'Fantasy', 'Romance']",['Paranormal'],no,third-person
Darcy Coates ,['Craven Manor'],"['Horror', 'Fantasy']",['Paranormal'],no,third-person
Camille Aubray ,['Cooking for Picasso'],['Romance'],['Historical Fiction'],no,third-person
Estelle Laure ,['Mayhem'],['Fantasy'],"['Historical Fiction', 'Paranormal', 'Magic']",no,second-person
Jennifer Allison ,['Gilda Joyce: Psychic Investigator'],['Fantasy'],['Paranormal'],no,first-person
Kate Cary ,"['Bloodline', 'Reckoning']","['Fantasy', 'Horror', 'Romance']","['Vampires', 'Paranormal', 'Historical Fiction']",no,third-person
M.K. Wren,['A Gift Upon the Shore'],"['Science Fiction', 'Fantasy']",['Post Apocalyptic'],no,third-person
Tom Baker,['The Boy Who Kicked Pigs'],"['Horror', 'Fantasy']",['Comedy'],no,third-person
Shamim Sarif ,['The World Unseen'],['Romance'],['Historical Fiction'],no,first-person
Dennis Danvers,['Circuit of Heaven'],['Science Fiction'],['Cyberpunk'],no,third-person
Paul B. Thompson,['Nemesis'],['Fantasy'],['Magic'],no,omniscent
Gladys Quintal ,['The Man of My Dreams'],"['Romance', 'Fantasy']","['Paranormal', 'Paranormal Romance', 'Vampires']",no,first-person
Noel Coward,['Blithe Spirit'],['Fantasy'],['Comedy'],classic,third-person
Joss Whedon ,['Tales of the Slayers'],"['Fantasy', 'Horror']","['Vampires', 'Urban Fantasy', 'Paranormal']",no,first-person
Nami Akimoto,"['Ultra Cute, Vol. 1', 'Ultra Cute, Vol. 2']",['Romance'],['Realistic Fiction'],no,first-person
Lucy Diamond,['The Beach Cafe'],['Romance'],['Contemporary Romance'],no,third-person
Angela Cameron ,['Jonas'],['Romance'],"['Paranormal Romance', 'Vampires', 'Paranormal', 'Urban Fantasy']",no,third-person
Karen Erickson ,"['A Scandalous Affair', 'Game for Marriage']",['Romance'],"['Historical Romance', 'Erotic Romance', 'Contemporary Romance']",no,omniscent
Jenni Merritt ,['Prison Nation'],"['Science Fiction', 'Fantasy', 'Romance']",['Post Apocalyptic'],no,second-person
Jill Eileen Smith ,"['Michal', 'Abigail']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,third-person
H.B. Moore ,['Esther the Queen'],['Romance'],['Historical Fiction'],no,third-person
Kristin Halbrook ,['Nobody But Us'],['Romance'],"['Realistic Fiction', 'Contemporary Romance']",no,third-person
Michele Hauf ,['Her Vampire Husband'],['Romance'],"['Paranormal', 'Vampires', 'Urban Fantasy']",no,first-person
Kelly Hunter ,"[""What the Bride Didn't Know""]",['Romance'],['Contemporary Romance'],no,third-person
Ruthie Knox ,['Truly'],['Romance'],['Contemporary Romance'],no,third-person
Jen McLaughlin,['Out of Line'],['Romance'],['Contemporary Romance'],no,third-person
Laken Cane ,['Shiv Crew'],"['Fantasy', 'Romance']","['Urban Fantasy', 'Paranormal', 'Vampires']",no,omniscent
Lara Deloza ,['True Confessions of a Hollywood Starlet'],['Romance'],['Realistic Fiction'],no,third-person
C.D. Reiss ,['Sing'],['Romance'],"['Erotic Romance', 'Contemporary Romance']",no,omniscent
Adrienne Kress ,"['Outcast', 'The Friday Society']","['Fantasy', 'Romance', 'Science Fiction']","['Paranormal', 'Urban Fantasy', 'Paranormal Romance', 'Historical Fiction']",no,omniscent
Saki Nakagawa,"['Attack on Titan: Junior High Omnibus, Vol. 1']",['Horror'],['Comedy'],no,third-person
Nick Spalding ,"['Love... And Sleepless Nights', 'Love... From Both Sides']",['Romance'],"['Comedy', 'Contemporary Romance']",no,third-person
Olivia Drake ,"['If the Slipper Fits', 'Stroke of Midnight']",['Romance'],"['Historical Romance', 'Historical Fiction']",no,third-person
Michelle Andreani ,['The Way Back to You'],['Romance'],['Realistic Fiction'],no,third-person
Christopher Coleman ,['Gretel'],"['Horror', 'Fantasy']",['Paranormal'],no,first-person
Elle Kennedy ,['The Chase'],['Romance'],['Contemporary Romance'],no,third-person
Natalie Anderson ,['Breathe for Me'],['Romance'],"['Contemporary Romance', 'Erotic Romance']",no,third-person
Eileen Spinelli,['Birdie'],['Romance'],['Realistic Fiction'],no,third-person
Lia Louis ,['Dear Emmie Blue'],['Romance'],['Contemporary Romance'],no,third-person
Christopher Castellani ,['A Kiss from Maddalena'],['Romance'],['Historical Fiction'],no,third-person
Mary O'Hara,['Green Grass of Wyoming'],['Romance'],['Historical Fiction'],classic,first-person
Susan Sizemore,"['I Thirst for You', 'I Burn for You', 'Deceptions', 'Companions', 'The Hunt']","['Romance', 'Fantasy', 'Horror', 'Science Fiction']","['Paranormal', 'Paranormal Romance', 'Vampires', 'Urban Fantasy']",no,third-person
Susan Hubbard ,"['The Society of S', 'The Year of Disappearances', 'The Season of Risks']","['Fantasy', 'Horror']","['Vampires', 'Paranormal', 'Urban Fantasy']",no,third-person
Roddy Doyle,['Rover Saves Christmas'],['Fantasy'],['Comedy'],no,omniscent
Laura Moore ,"['Believe in Me', 'Remember Me']",['Romance'],['Contemporary Romance'],no,first-person
Tim O'Rourke ,['Vampire Shift'],"['Fantasy', 'Romance', 'Horror']","['Vampires', 'Paranormal', 'Urban Fantasy', 'Paranormal Romance']",no,third-person
Cameron Jace ,"['Snow White Blood Red', 'Ashes to Ashes and Cinder to Cinder', 'Beauty Never Dies', 'Ladle Rat Rotten Hut']","['Fantasy', 'Horror']","['Paranormal', 'Vampires']",no,third-person
Tim Slover,['The Christmas Chronicles: The Legend of Santa Claus'],['Fantasy'],['Magic'],no,third-person
Henry de Vere Stacpoole,['The Blue Lagoon a Romance'],['Romance'],['Historical Fiction'],classic,omniscent
Victoria Connelly,['A Weekend with Mr. Darcy'],['Romance'],['Contemporary Romance'],no,third-person
A.J. Lake,"['The Circle of Stone', 'The Book of the Sword', 'The Coming of Dragons']",['Fantasy'],"['Magic', 'Historical Fiction']",no,first-person
Caisey Quinn ,['Girl with Guitar'],['Romance'],['Contemporary Romance'],no,first-person
Beatrice Colin ,['The Luminous Life of Lilly Aphrodite'],['Romance'],['Historical Fiction'],no,third-person
Pamela Morsi ,['The Social Climber of Davenport Heights'],['Romance'],['Contemporary Romance'],no,first-person
M.L. Hamilton ,['Emerald'],['Fantasy'],['Epic Fantasy'],no,omniscent
Robyn Peterman ,"['Size Matters', 'How Hard Can It Be?']",['Romance'],"['Comedy', 'Contemporary Romance']",no,third-person
Lorhainne Eckhart ,['The Forgotten Child'],['Romance'],['Contemporary Romance'],no,first-person
Cathie Linz,"[""Big Girls Don't Cry""]",['Romance'],['Contemporary Romance'],no,third-person
Sharon Biggs Waller ,"['A Mad, Wicked Folly']",['Romance'],['Historical Fiction'],no,omniscent
Jeremy Robinson ,['Antarktos Rising'],"['Science Fiction', 'Fantasy', 'Horror']","['Historical Fiction', 'Post Apocalyptic']",no,third-person
Sara King ,"[""Zero's Return"", 'Zero Recall']","['Science Fiction', 'Fantasy']",['Space'],no,third-person
Eiji Otsuka,"['The Kurosagi Corpse Delivery Service, Volume 1']","['Horror', 'Fantasy']",['Paranormal'],no,third-person
Rosalie Ham,['The Dressmaker'],['Romance'],['Historical Fiction'],no,third-person
Sarah Sundin ,"['A Distant Melody', 'Through Waters Deep', 'Anchor in the Storm']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,third-person
Jennifer Bosworth ,['The Killing Jar'],"['Fantasy', 'Horror', 'Science Fiction', 'Romance']",['Paranormal'],no,first-person
Yoshitoki Oima,"['A Silent Voice, Vol. 1']",['Romance'],['Realistic Fiction'],no,omniscent
Jamie Shaw ,['Havoc'],['Romance'],['Contemporary Romance'],no,third-person
Lynn Cullen ,"[""I am Rembrandt's Daughter""]",['Romance'],['Historical Fiction'],no,second-person
Margarita Montimore ,['Oona Out of Order'],"['Science Fiction', 'Fantasy']",['Time Travel'],no,third-person
Posie Graeme-Evans ,"['The Uncrowned Queen', 'The Exiled', 'The Innocent']",['Romance'],"['Historical Fiction', 'Historical Romance']",no,first-person
Peter Tremayne,['Valley of the Shadow'],['Fantasy'],['Historical Fiction'],no,first-person
Kathryn Harvey,['Butterfly'],['Romance'],"['Erotic Romance', 'Contemporary Romance']",no,third-person
Tony Abbott,['Kringle'],['Fantasy'],['Magic'],no,third-person
Dudley Pope,['Ramage'],['Fantasy'],['Historical Fiction'],no,first-person
Rosemary Kirstein,['The Steerswoman'],"['Fantasy', 'Science Fiction']",['High Fantasy'],no,third-person
Barbara Conklin,"['P. S. I Love You (Sweet Dreams, #1)']",['Romance'],['Contemporary Romance'],no,omniscent
Laura Buzo,['Good Oil'],['Romance'],['Realistic Fiction'],no,third-person
Joseph O'Connor,['Ghost Light'],['Romance'],['Historical Fiction'],no,omniscent
Rebecca Sparrow,['The Year Nick McGowan Came to Stay'],['Romance'],['Realistic Fiction'],no,omniscent
Nigel Bennett,['Keeper of the King'],"['Fantasy', 'Horror']","['Vampires', 'Paranormal', 'Urban Fantasy']",no,third-person
Ann Redisch Stampler ,['Where It Began'],['Romance'],['Realistic Fiction'],no,third-person
Dani Harper ,['Changeling Moon'],"['Romance', 'Fantasy']","['Paranormal Romance', 'Paranormal', 'Urban Fantasy']",no,third-person
Sarah Lark,['Song of the Spirits'],['Romance'],"['Historical Fiction', 'Historical Romance']",no,third-person
Lynn Abbey ,['Unicorn and Dragon'],"['Fantasy', 'Romance']","['Historical Fiction', 'Historical Fantasy']",no,first-person
Sara Wilson Etienne ,['Harbinger'],"['Fantasy', 'Romance']","['Paranormal', 'Magic', 'Paranormal Romance']",no,first-person
Peter Ackroyd,['The Death of King Arthur'],"['Fantasy', 'Romance']",['Historical Fiction'],classic,third-person
Alice Moss,['Mortal Kiss'],"['Romance', 'Fantasy']","['Paranormal', 'Paranormal Romance']",no,omniscent
George Bernard Shaw,['Arms and the Man'],['Romance'],['Comedy'],classic,third-person
Bronwyn Parry ,['As Darkness Falls'],['Romance'],['Contemporary Romance'],no,omniscent
Beverly Preston ,['No More Wasted Time'],['Romance'],['Contemporary Romance'],no,first-person
Ali Cronin,['Skins'],['Romance'],['Realistic Fiction'],no,first-person
Kieron Gillen,"['The Wicked + The Divine #5', 'The Wicked + The Divine, Vol. 1: The Faust Act']",['Fantasy'],['Urban Fantasy'],no,first-person
Claire Zorn ,['The Sky So Heavy'],"['Science Fiction', 'Romance']",['Post Apocalyptic'],no,third-person
Kristen Heitzmann ,['Told You So'],['Romance'],['Contemporary Romance'],no,first-person
John W. Campbell Jr. ,"['Astounding Science-Fiction, October 1941']","['Science Fiction', 'Fantasy']",['Time Travel'],classic,third-person
Erica Orloff,['Mafia Chic'],['Romance'],['Contemporary Romance'],no,first-person
Pippa Croft,['The First Time We Met'],['Romance'],['Contemporary Romance'],no,third-person
The Harvard Lampoon,"[""Bored of the Rings: A Parody of J.R.R. Tolkien's Lord of the Rings""]","['Fantasy', 'Science Fiction']","['Comedy', 'Magic', 'High Fantasy']",no,omniscent
Clare Naylor,['The Second Assistant: A Tale from the Bottom of the Hollywood Ladder'],['Romance'],['Contemporary Romance'],no,third-person
R.A. MacAvoy,['Tea with the Black Dragon'],"['Fantasy', 'Romance', 'Science Fiction']","['Urban Fantasy', 'Paranormal']",no,omniscent
Trent Jamieson ,['Death Most Definite'],"['Fantasy', 'Horror']","['Urban Fantasy', 'Paranormal']",no,third-person
Dan Poblocki ,['The Ghost of Graylock'],"['Horror', 'Fantasy']",['Paranormal'],no,omniscent
Alisa Valdes ,['The Temptation'],"['Romance', 'Fantasy']","['Paranormal', 'Paranormal Romance']",no,third-person
Rob Grant,['Incompetence'],"['Science Fiction', 'Fantasy']",['Comedy'],no,third-person
Dee Shulman ,['Fever'],"['Fantasy', 'Romance', 'Science Fiction']","['Time Travel', 'Historical Fiction', 'Paranormal']",no,third-person
Karin Tabke ,['Master of Craving'],['Romance'],"['Historical Romance', 'Historical Fiction']",no,third-person
Mel Odom,"['Revenant', ""Apocalypse Dawn: The Earth's Last Days: The Battle Begins""]","['Fantasy', 'Horror']","['Vampires', 'Urban Fantasy', 'Paranormal', 'Post Apocalyptic']",no,third-person
Norah Wilson ,['Comes the Night'],"['Fantasy', 'Romance']","['Paranormal', 'Paranormal Romance']",no,third-person
Kerry Connor ,['Faking Mr. Right'],['Romance'],['Contemporary Romance'],no,third-person
Amy Lignor ,['13'],"['Fantasy', 'Romance']",['Paranormal'],no,third-person
Celia Bryce,['Anthem for Jackson Dawes'],['Romance'],['Realistic Fiction'],no,omniscent
